Row #,Species,Count,Location,S/P,Date,LocID,SubID,Coords
102,Bufflehead - Bucephala albeola,2,Jamaica Bay Wildlife Refuge--East Pond,US-NY,08 Nov 2020,L109144,S76025584,"40.6226854,-73.8220096"
103,Eared Grebe - Podiceps nigricollis,1,Jamaica Bay Wildlife Refuge--East Pond,US-NY,08 Nov 2020,L109144,S76025584,"40.6226854,-73.8220096"
104,Black-capped Chickadee - Poecile atricapillus,3,Jamaica Bay Wildlife Refuge--West Pond,US-NY,08 Nov 2020,L109145,S76024668,"40.6188482,-73.8307995"
105,Hermit Thrush - Catharus guttatus,1,Van Vorst Park,US-NJ,27 Oct 2020,L2824993,S75499260,"40.7180543,-74.0471381"
106,Black Scoter - Melanitta americana,40,Cape Island--CMPSP--Hawkwatch Platform,US-NJ,24 Oct 2020,L92443,S75363104,"38.9328558,-74.9579416"
107,American Bittern - Botaurus lentiginosus,1,Cape Island--CMPSP--Hawkwatch Platform,US-NJ,24 Oct 2020,L92443,S75363104,"38.9328558,-74.9579416"
108,Ruddy Duck - Oxyura jamaicensis,3,Cape Island--South Cape May Meadows (SCMM),US-NJ,24 Oct 2020,L109136,S75363018,"38.9359287,-74.9434519"
109,Red-shouldered Hawk - Buteo lineatus,1,Cape Island--South Cape May Meadows (SCMM),US-NJ,24 Oct 2020,L109136,S75363018,"38.9359287,-74.9434519"
110,Blue-winged Teal - Spatula discors,3,Cape Island--Cape May Point SP (CMPSP),US-NJ,24 Oct 2020,L109132,S75360185,"38.9338272,-74.9550854"
111,Cooper's Hawk - Accipiter cooperii,1,Cape Island--Cape May Point SP (CMPSP),US-NJ,24 Oct 2020,L109132,S75360185,"38.9338272,-74.9550854"
112,Tree Swallow - Tachycineta bicolor,10,Cape Island--Cape May Point SP (CMPSP),US-NJ,24 Oct 2020,L109132,S75360185,"38.9338272,-74.9550854"
113,Purple Finch - Haemorhous purpureus,1,Cape Island--Cape May Point SP (CMPSP),US-NJ,24 Oct 2020,L109132,S75360185,"38.9338272,-74.9550854"
114,Pine Siskin - Spinus pinus,25,Cape Island--Cape May Point SP (CMPSP),US-NJ,24 Oct 2020,L109132,S75360185,"38.9338272,-74.9550854"
115,Indigo Bunting - Passerina cyanea,1,Cape Island--Cape May Point SP (CMPSP),US-NJ,24 Oct 2020,L109132,S75360185,"38.9338272,-74.9550854"
116,Brant - Branta bernicla,100,Liberty SP,US-NJ,17 Oct 2020,L189035,S74975444,"40.7025698,-74.0493536"
117,Red-breasted Nuthatch - Sitta canadensis,1,Liberty SP,US-NJ,17 Oct 2020,L189035,S74975444,"40.7025698,-74.0493536"
118,Sharp-shinned Hawk - Accipiter striatus,2,Liberty SP,US-NJ,17 Oct 2020,L189035,S74975348,"40.7025698,-74.0493536"
119,Brown Creeper - Certhia americana,1,Liberty SP,US-NJ,17 Oct 2020,L189035,S74975348,"40.7025698,-74.0493536"
120,Gadwall - Mareca strepera,2,Bayonne Golf Club,US-NJ,10 Oct 2020,L612612,S74664393,"40.6649251,-74.096083"
121,American Wigeon - Mareca americana,9,Bayonne Golf Club,US-NJ,10 Oct 2020,L612612,S74664393,"40.6649251,-74.096083"
122,Horned Grebe - Podiceps auritus,2,Bayonne Golf Club,US-NJ,10 Oct 2020,L612612,S74664393,"40.6649251,-74.096083"
123,Belted Kingfisher - Megaceryle alcyon,1,Bayonne Golf Club,US-NJ,10 Oct 2020,L612612,S74664393,"40.6649251,-74.096083"
124,Merlin - Falco columbarius,1,Bayonne Golf Club,US-NJ,10 Oct 2020,L612612,S74664393,"40.6649251,-74.096083"
125,White-crowned Sparrow - Zonotrichia leucophrys,1,Bayonne Golf Club,US-NJ,10 Oct 2020,L612612,S74664393,"40.6649251,-74.096083"
126,Brown Booby - Sula leucogaster,2,Veterans Park,US-NJ,10 Oct 2020,L12435104,S74658957,"40.6717756,-74.1259477"
127,Black Vulture - Coragyps atratus,1,Palisades Park IBA--State Line Lookout,US-NJ,10 Oct 2020,L485624,S74642298,"40.989621,-73.9060539"
128,Bald Eagle - Haliaeetus leucocephalus,1,Palisades Park IBA--State Line Lookout,US-NJ,10 Oct 2020,L485624,S74642298,"40.989621,-73.9060539"
129,Peregrine Falcon - Falco peregrinus,2,Palisades Park IBA--State Line Lookout,US-NJ,10 Oct 2020,L485624,S74642298,"40.989621,-73.9060539"
130,Tufted Titmouse - Baeolophus bicolor,2,Palisades Park IBA--State Line Lookout,US-NJ,10 Oct 2020,L485624,S74642298,"40.989621,-73.9060539"
131,Green-winged Teal - Anas crecca,40,Meadowlands IBA--Mill Creek Marsh,US-NJ,10 Oct 2020,L389014,S74664426,"40.7959347,-74.0498471"
132,Dark-eyed Junco - Junco hyemalis,2,Liberty SP,US-NJ,04 Oct 2020,L189035,S74411545,"40.7025698,-74.0493536"
133,Yellow-bellied Sapsucker - Sphyrapicus varius,1,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
134,Golden-crowned Kinglet - Regulus satrapa,1,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
135,Blackpoll Warbler - Setophaga striata,1,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
136,Black-throated Blue Warbler - Setophaga caerulescens,2,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
137,Palm Warbler - Setophaga palmarum,,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
138,Pine Warbler - Setophaga pinus,,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
139,Yellow-rumped Warbler - Setophaga coronata,,Liberty SP,US-NJ,03 Oct 2020,L189035,S74380349,"40.7025698,-74.0493536"
140,Northern Shoveler - Spatula clypeata,4,Liberty SP,US-NJ,01 Oct 2020,L189035,S74297661,"40.7025698,-74.0493536"
141,Red-bellied Woodpecker - Melanerpes carolinus,1,Van Vorst Park,US-NJ,30 Sep 2020,L2824993,S74251336,"40.7180543,-74.0471381"
142,American Kestrel - Falco sparverius,1,Sandy Hook--Platform & North Pond,US-NJ,27 Sep 2020,L678246,S74117911,"40.4716,-74.0059876"
143,Sanderling - Calidris alba,60,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,27 Sep 2020,L10874116,S74114298,"40.467049, -73.998396"
144,Royal Tern - Thalasseus maximus,1,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,27 Sep 2020,L10874116,S74114298,"40.467049, -73.998396"
145,Ruby-crowned Kinglet - Regulus calendula,1,Liberty SP,US-NJ,26 Sep 2020,L189035,S74082326,"40.7025698,-74.0493536"
146,Eastern Towhee - Pipilo erythrophthalmus,1,Liberty SP,US-NJ,26 Sep 2020,L189035,S74082326,"40.7025698,-74.0493536"
147,Black-and-white Warbler - Mniotilta varia,1,Liberty SP,US-NJ,26 Sep 2020,L189035,S74082326,"40.7025698,-74.0493536"
148,American Redstart - Setophaga ruticilla,1,Liberty SP,US-NJ,26 Sep 2020,L189035,S74082326,"40.7025698,-74.0493536"
149,Northern Parula - Setophaga americana,1,Liberty SP,US-NJ,26 Sep 2020,L189035,S74082326,"40.7025698,-74.0493536"
150,Red-tailed Hawk - Buteo jamaicensis,1,Liberty SP,US-NJ,25 Sep 2020,L189035,S74027934,"40.7025698,-74.0493536"
151,Killdeer - Charadrius vociferus,2,Liberty SP,US-NJ,23 Sep 2020,L189035,S73951386,"40.7025698,-74.0493536"
152,Downy Woodpecker - Dryobates pubescens,1,Liberty SP,US-NJ,23 Sep 2020,L189035,S73951386,"40.7025698,-74.0493536"
153,Northern Flicker - Colaptes auratus,1,Liberty SP,US-NJ,23 Sep 2020,L189035,S73951386,"40.7025698,-74.0493536"
154,Eastern Wood-Pewee - Contopus virens,1,Liberty SP,US-NJ,20 Sep 2020,L189035,S73860333,"40.7025698,-74.0493536"
155,Eastern Phoebe - Sayornis phoebe,1,Liberty SP,US-NJ,20 Sep 2020,L189035,S73860333,"40.7025698,-74.0493536"
156,Swainson's Thrush - Catharus ustulatus,1,Liberty SP,US-NJ,20 Sep 2020,L189035,S73860333,"40.7025698,-74.0493536"
157,White-throated Sparrow - Zonotrichia albicollis,3,Liberty SP,US-NJ,20 Sep 2020,L189035,S73860333,"40.7025698,-74.0493536"
158,Magnolia Warbler - Setophaga magnolia,1,Liberty SP,US-NJ,20 Sep 2020,L189035,S73860333,"40.7025698,-74.0493536"
159,Black-throated Green Warbler - Setophaga virens,1,Liberty SP,US-NJ,20 Sep 2020,L189035,S73860333,"40.7025698,-74.0493536"
160,American Black Duck - Anas rubripes,3,Liberty SP,US-NJ,18 Sep 2020,L189035,S73731862,"40.7025698,-74.0493536"
161,Osprey - Pandion haliaetus,1,Liberty SP,US-NJ,16 Sep 2020,L189035,S73659530,"40.7025698,-74.0493536"
162,Savannah Sparrow - Passerculus sandwichensis,1,Liberty SP,US-NJ,16 Sep 2020,L189035,S73659530,"40.7025698,-74.0493536"
163,Scarlet Tanager - Piranga olivacea,1,Meadowlands IBA--Mill Creek Marsh,US-NJ,13 Sep 2020,L389014,S73559360,"40.7959347,-74.0498471"
164,Blue Jay - Cyanocitta cristata,1,Great Swamp NWR--Wildlife Observation Center,US-NJ,13 Sep 2020,L722649,S73567606,"40.712492,-74.4879055"
165,Eastern Bluebird - Sialia sialis,2,Great Swamp NWR--Fenske Visitor Center,US-NJ,13 Sep 2020,L1089944,S73546316,"40.7191602,-74.525671"
166,Fish Crow - Corvus ossifragus,1,"Sep 10, 2020 3:39 PM
40.724, -74.041",US-NJ,10 Sep 2020,L12262340,S73430861,"40.7237564,-74.040544"
167,American Oystercatcher - Haematopus palliatus,1,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
168,Laughing Gull - Leucophaeus atricilla,,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
169,Great Black-backed Gull - Larus marinus,1,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
170,Great Blue Heron - Ardea herodias,2,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
171,Black-crowned Night-Heron - Nycticorax nycticorax,2,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
172,Yellow-crowned Night-Heron - Nyctanassa violacea,1,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
173,Turkey Vulture - Cathartes aura,2,Liberty SP,US-NJ,07 Sep 2020,L189035,S73294184,"40.7025698,-74.0493536"
174,Ruby-throated Hummingbird - Archilochus colubris,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,01 Sep 2020,L11465561,S73079356,"40.718171, -74.045039"
175,Least Sandpiper - Calidris minutilla,7,Richard W. DeKorte Park,US-NJ,30 Aug 2020,L389007,S72981667,"40.7833,-74.1025167"
176,Carolina Wren - Thryothorus ludovicianus,1,Richard W. DeKorte Park,US-NJ,30 Aug 2020,L389007,S72981667,"40.7833,-74.1025167"
177,American Goldfinch - Spinus tristis,3,Richard W. DeKorte Park,US-NJ,30 Aug 2020,L389007,S72981667,"40.7833,-74.1025167"
178,Semipalmated Sandpiper - Calidris pusilla,,Meadowlands IBA--Mill Creek Marsh,US-NJ,30 Aug 2020,L389014,S72977751,"40.7959347,-74.0498471"
179,Greater Yellowlegs - Tringa melanoleuca,3,Meadowlands IBA--Mill Creek Marsh,US-NJ,30 Aug 2020,L389014,S72977751,"40.7959347,-74.0498471"
180,Herring Gull - Larus argentatus,1,Meadowlands IBA--Mill Creek Marsh,US-NJ,30 Aug 2020,L389014,S72977751,"40.7959347,-74.0498471"
181,Snowy Egret - Egretta thula,3,Meadowlands IBA--Mill Creek Marsh,US-NJ,30 Aug 2020,L389014,S72977751,"40.7959347,-74.0498471"
182,Warbling Vireo - Vireo gilvus,1,Meadowlands IBA--Mill Creek Marsh,US-NJ,30 Aug 2020,L389014,S72977751,"40.7959347,-74.0498471"
183,Song Sparrow - Melospiza melodia,1,Meadowlands IBA--Mill Creek Marsh,US-NJ,30 Aug 2020,L389014,S72977751,"40.7959347,-74.0498471"
184,Great Egret - Ardea alba,1,Liberty SP,US-NJ,21 Aug 2020,L189035,S72647630,"40.7025698,-74.0493536"
185,Brown-headed Cowbird - Molothrus ater,4,Liberty SP,US-NJ,21 Aug 2020,L189035,S72647630,"40.7025698,-74.0493536"
186,Mute Swan - Cygnus olor,2,Morris Canal Basin,US-NJ,14 Aug 2020,L6341510,S72410021,"40.7110282,-74.0427876"
187,Ring-billed Gull - Larus delawarensis,1,"622 Marin Boulevard, Jersey City, New Jersey, US (40.733, -74.039)",US-NJ,13 Aug 2020,L12060996,S72376638,"40.7334646,-74.0389181"
188,Double-crested Cormorant - Phalacrocorax auritus,1,Liberty SP,US-NJ,05 Jul 2020,L189035,S71153864,"40.7025698,-74.0493536"
189,Chipping Sparrow - Spizella passerina,1,Liberty SP,US-NJ,05 Jul 2020,L189035,S71153864,"40.7025698,-74.0493536"
190,Mallard - Anas platyrhynchos,2,Morris Canal Basin,US-NJ,28 Jun 2020,L6341510,S70924557,"40.7110282,-74.0427876"
191,Common Tern - Sterna hirundo,1,Morris Canal Basin,US-NJ,28 Jun 2020,L6341510,S70924557,"40.7110282,-74.0427876"
192,Barn Swallow - Hirundo rustica,1,Morris Canal Basin,US-NJ,28 Jun 2020,L6341510,S70924557,"40.7110282,-74.0427876"
193,Canada Goose - Branta canadensis,13,"128 18th Street, Jersey City, New Jersey, US (40.734, -74.039)",US-NJ,18 Jun 2020,L11722510,S70573842,"40.7340868,-74.0391371"
194,American Crow - Corvus brachyrhynchos,5,"520 Jersey Avenue, Jersey City, New Jersey, US (40.721, -74.047)",US-NJ,18 Jun 2020,L11720409,S70562915,"40.7207898,-74.0465093"
195,House Finch - Haemorhous mexicanus,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,09 Jun 2020,L11465561,S70251748,"40.718171, -74.045039"
196,Red-winged Blackbird - Agelaius phoeniceus,1,Van Vorst Park,US-NJ,08 Jun 2020,L2824993,S70207686,"40.7180543,-74.0471381"
197,Common Grackle - Quiscalus quiscula,1,Van Vorst Park,US-NJ,08 Jun 2020,L2824993,S70207686,"40.7180543,-74.0471381"
198,Mourning Dove - Zenaida macroura,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,06 Jun 2020,L11465561,S70112013,"40.718171, -74.045039"
199,American Robin - Turdus migratorius,2,"Mercer Street, Jersey City, New Jersey, US",US-NJ,30 May 2020,L11465561,S69857030,"40.718171, -74.045039"
200,Chimney Swift - Chaetura pelagica,3,"Mercer Street, Jersey City, New Jersey, US",US-NJ,29 May 2020,L11519062,S69791313,"40.718171, -74.045039"
201,Cedar Waxwing - Bombycilla cedrorum,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,29 May 2020,L11519062,S69791313,"40.718171, -74.045039"
202,Rock Pigeon - Columba livia,3,"Mercer Street, Jersey City, New Jersey, US",US-NJ,25 May 2020,L11465561,S69635929,"40.718171, -74.045039"
203,Gray Catbird - Dumetella carolinensis,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,22 May 2020,L11519062,S69473656,"40.718171, -74.045039"
204,Northern Mockingbird - Mimus polyglottos,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,22 May 2020,L11473786,S69463645,"40.718171, -74.045039"
205,European Starling - Sturnus vulgaris,4,"Mercer Street, Jersey City, New Jersey, US",US-NJ,17 May 2020,L11473786,S69214490,"40.718171, -74.045039"
206,House Sparrow - Passer domesticus,15,"Mercer Street, Jersey City, New Jersey, US",US-NJ,17 May 2020,L11473786,S69214490,"40.718171, -74.045039"
207,Common Yellowthroat - Geothlypis trichas,2,"Mercer Street, Jersey City, New Jersey, US",US-NJ,16 May 2020,L11465561,S69165568,"40.718171, -74.045039"
208,Northern Cardinal - Cardinalis cardinalis,2,"Mercer Street, Jersey City, New Jersey, US",US-NJ,16 May 2020,L11465561,S69165568,"40.718171, -74.045039"
